option_id,v_a_high,v_a_low,p_a_high,p_a_low,v_b_high,v_b_low,p_b_high,p_b_low,type_b
0,4,2,0.1,0.9,13,1,0.09999999999999998,0.9,risky
1,4,2,0.9,0.09999999999999998,29,1,0.09999999999999998,0.9,risky
2,4,2,0.1,0.9,2.2,0,1,0,safe
3,4,2,0.9,0.09999999999999998,3.8,0,1,0,safe
4,5.2,2.6,0.1,0.9,16.9,1.3,0.09999999999999998,0.9,risky
5,5.2,2.6,0.9,0.09999999999999998,37.7,1.3,0.09999999999999998,0.9,risky
6,5.2,2.6,0.1,0.9,2.9,0,1,0,safe
7,5.2,2.6,0.9,0.09999999999999998,4.9,0,1,0,safe
8,6.7,3.4,0.1,0.9,22,1.7,0.09999999999999998,0.9,risky
9,6.7,3.4,0.9,0.09999999999999998,48.4,1.7,0.09999999999999998,0.9,risky
10,6.7,3.4,0.1,0.9,3.7,0,1,0,safe
11,6.7,3.4,0.9,0.09999999999999998,6.4,0,1,0,safe
12,8.7,4.3,0.1,0.9,27.6,2.2,0.09999999999999998,0.9,risky
13,8.7,4.3,0.9,0.09999999999999998,62.8,2.2,0.09999999999999998,0.9,risky
14,8.7,4.3,0.1,0.9,4.7,0,1,0,safe
15,8.7,4.3,0.9,0.09999999999999998,8.3,0,1,0,safe
16,11.3,5.7,0.1,0.9,37.4,2.8,0.09999999999999998,0.9,risky
17,11.3,5.7,0.9,0.09999999999999998,82.2,2.8,0.09999999999999998,0.9,risky
18,11.3,5.7,0.1,0.9,6.3,0,1,0,safe
19,11.3,5.7,0.9,0.09999999999999998,10.7,0,1,0,safe
20,14.7,7.3,0.1,0.9,47.1,3.7,0.09999999999999998,0.9,risky
21,14.7,7.3,0.9,0.09999999999999998,106.3,3.7,0.09999999999999998,0.9,risky
22,14.7,7.3,0.1,0.9,8,0,1,0,safe
23,14.7,7.3,0.9,0.09999999999999998,14,0,1,0,safe
24,19,9.5,0.1,0.9,61.3,4.8,0.09999999999999998,0.9,risky
25,19,9.5,0.9,0.09999999999999998,137.3,4.8,0.09999999999999998,0.9,risky
26,19,9.5,0.1,0.9,10.5,0,1,0,safe
27,19,9.5,0.9,0.09999999999999998,18,0,1,0,safe
28,24.7,12.3,0.1,0.9,79.6,6.2,0.09999999999999998,0.9,risky
29,24.7,12.3,0.9,0.09999999999999998,178.8,6.2,0.09999999999999998,0.9,risky
30,24.7,12.3,0.1,0.9,13.5,0,1,0,safe
31,24.7,12.3,0.9,0.09999999999999998,23.5,0,1,0,safe
32,32,16,0.1,0.9,104,8,0.09999999999999998,0.9,risky
33,32,16,0.9,0.09999999999999998,232,8,0.09999999999999998,0.9,risky
34,32,16,0.1,0.9,17.6,0,1,0,safe
35,32,16,0.9,0.09999999999999998,30.4,0,1,0,safe
36,2.4,1.9,0.5,0.5,7.8,5.9,0.5,0.5,attention_check
37,9.1,6.3,0.5,0.5,2.2,1.5,0.5,0.5,attention_check
38,6.3,5.7,0.5,0.5,2.3,1.2,0.5,0.5,attention_check
39,2.2,0.3,0.5,0.5,6,5,0.5,0.5,attention_check
